match_id,match_name,home_team,away_team,venue,city,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,PAK,1,Iftikhar Ahmed,Iftikhar Ahmed,0,6,8,0,0,0,0,0
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,ZIM,2,W Madhevere,Wessly Madhevere,0,1,1,0,0,0,0,0
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,ZIM,2,RW Chakabva,Regis Chakabva,0,6,9,0,0,0,0,0
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,ZIM,2,B Muzarabani,Blessing Muzarabani,0,2,5,0,0,0,0,1
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,BAN,1,Nurul Hasan,Nurul Hasan,0,3,4,0,0,0,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,BAN,1,Mustafizur Rahman,Mustafizur Rahman,0,1,1,0,0,0,0,1
1298174,NED v SA,NED,SA,Adelaide Oval,Adelaide,SA,2,WD Parnell,Wayne Parnell,0,2,3,0,0,0,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,C Karunaratne,Chamika Karunaratne,0,2,3,0,0,0,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,PJ Cummins,Pat Cummins,0,2,4,0,0,0,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Najibullah Zadran,Najibullah Zadran,0,2,3,0,0,0,0,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,NZ,1,JDS Neesham,James Neesham,0,1,3,0,0,0,0,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,NZ,1,MJ Santner,Mitchell Santner,0,1,2,0,0,0,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Mohammad Wasim(1),Mohammad Wasim,0,1,1,0,0,0,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,SA,2,Q de Kock,Quinton de Kock,0,5,6,0,0,0,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,NED,2,RE van der Merwe,Roelof van der Merwe,0,3,6,0,0,0,0,1
1298165,AUS v IRE,AUS,IRE,Brisbane Cricket Ground,Brisbane,IRE,2,C Campher,Curtis Campher,0,1,5,0,0,0,0,0
1298165,AUS v IRE,AUS,IRE,Brisbane Cricket Ground,Brisbane,IRE,2,GH Dockrell,George Dockrell,0,4,4,0,0,0,0,0
1298164,INDIA v SA,INDIA,SA,Perth Stadium,Perth,INDIA,1,DJ Hooda,Deepak Hooda,0,3,4,0,0,0,0,0
1298164,INDIA v SA,INDIA,SA,Perth Stadium,Perth,INDIA,1,Mohammed Shami,Mohammed Shami,0,2,5,0,0,0,0,0
1298164,INDIA v SA,INDIA,SA,Perth Stadium,Perth,SA,2,RR Rossouw,Rilee Rossouw,0,2,4,0,0,0,0,0
1298163,NED v PAK,NED,PAK,Perth Stadium,Perth,NED,1,FJ Klaassen,Fred Klaassen,0,1,1,0,0,0,0,0
1298162,BAN v ZIM,BAN,ZIM,Brisbane Cricket Ground,Brisbane,BAN,1,Soumya Sarkar,Soumya Sarkar,0,2,9,0,0,0,0,0
1298162,BAN v ZIM,BAN,ZIM,Brisbane Cricket Ground,Brisbane,ZIM,2,Sikandar Raza,Sikandar Raza,0,3,4,0,0,0,0,0
1298162,BAN v ZIM,BAN,ZIM,Brisbane Cricket Ground,Brisbane,ZIM,2,B Muzarabani,Blessing Muzarabani,0,2,6,0,0,0,0,1
1298161,NZ v SL,NZ,SL,Sydney Cricket Ground,Sydney,SL,2,P Nissanka,Pathum Nissanka,0,5,5,0,0,0,0,0
1298161,NZ v SL,NZ,SL,Sydney Cricket Ground,Sydney,SL,2,DM de Silva,Dhananjaya de Silva,0,3,8,0,0,0,0,0
1298161,NZ v SL,NZ,SL,Sydney Cricket Ground,Sydney,SL,2,M Theekshana,Maheesh Theekshana,0,3,5,0,0,0,0,0
1298158,PAK v ZIM,ZIM,PAK,Perth Stadium,Perth,ZIM,1,RW Chakabva,Regis Chakabva,0,1,2,0,0,0,0,0
1298158,PAK v ZIM,ZIM,PAK,Perth Stadium,Perth,ZIM,1,LM Jongwe,Luke Jongwe,0,1,2,0,0,0,0,0
1298158,PAK v ZIM,ZIM,PAK,Perth Stadium,Perth,PAK,2,Haider Ali,Haider Ali,0,1,3,0,0,0,0,0
1298157,INDIA v NED,INDIA,NED,Sydney Cricket Ground,Sydney,NED,2,FJ Klaassen,Fred Klaassen,0,1,3,0,0,0,0,0
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,SA,1,WD Parnell,Wayne Parnell,0,2,2,0,0,0,0,1
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,BAN,2,Mosaddek Hossain,Mosaddek Hossain,0,3,4,0,0,0,0,0
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,BAN,2,Hasan Mahmud,Hasan Mahmud,0,2,7,0,0,0,0,0
1298154,ENG v IRE,IRE,ENG,Melbourne Cricket Ground,Melbourne,IRE,1,HT Tector,Harry Tector,0,2,3,0,0,0,0,0
1298154,ENG v IRE,IRE,ENG,Melbourne Cricket Ground,Melbourne,IRE,1,GH Dockrell,George Dockrell,0,1,2,0,0,0,0,0
1298154,ENG v IRE,IRE,ENG,Melbourne Cricket Ground,Melbourne,IRE,1,JB Little,Josh Little,0,1,3,0,0,0,0,0
1298152,SA v ZIM,ZIM,SA,"Bellerive Oval, Hobart",Hobart,ZIM,1,Sikandar Raza,Sikandar Raza,0,2,3,0,0,0,0,0
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,BAN,1,Taskin Ahmed,Taskin Ahmed,0,1,3,0,0,0,0,0
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,BAN,1,Hasan Mahmud,Hasan Mahmud,0,3,6,0,0,0,0,1
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,NED,2,Vikramjit Singh,Vikramjit Singh,0,1,4,0,0,0,0,0
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,NED,2,BFW de Leede,Bas de Leede,0,1,2,0,0,0,0,0
1298149,IRE v SL,IRE,SL,"Bellerive Oval, Hobart",Hobart,IRE,1,MR Adair,Mark Adair,0,1,5,0,0,0,0,0
1298148,AFG v ENG,AFG,ENG,Perth Stadium,Perth,AFG,1,Rashid Khan,Rashid Khan,0,1,2,0,0,0,0,0
1298148,AFG v ENG,AFG,ENG,Perth Stadium,Perth,AFG,1,Mujeeb Ur Rahman,Mujeeb Ur Rahman,0,1,3,0,0,0,0,0
1298148,AFG v ENG,AFG,ENG,Perth Stadium,Perth,AFG,1,Fazalhaq Farooqi,Fazalhaq Farooqi,0,2,3,0,0,0,0,0
1298147,AUS v NZ,NZ,AUS,Sydney Cricket Ground,Sydney,AUS,2,A Zampa,Adam Zampa,0,2,3,0,0,0,0,0
1298146,SCOT v ZIM,SCOT,ZIM,"Bellerive Oval, Hobart",Hobart,ZIM,2,W Madhevere,Wessly Madhevere,0,5,8,0,0,0,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,SL,1,DM de Silva,Dhananjaya de Silva,0,1,2,0,0,0,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,NED,2,CN Ackermann,Colin Ackermann,0,1,4,0,0,0,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,NED,2,T van der Gugten,Timm van der Gugten,0,1,2,0,0,0,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,NED,2,RE van der Merwe,Roelof van der Merwe,0,1,14,0,0,0,0,1
1298142,WI v ZIM,WI,ZIM,"Bellerive Oval, Hobart",Hobart,WI,1,SSJ Brooks,Shamarh Brooks,0,3,5,0,0,0,0,0
1298141,IRE v SCOT,SCOT,IRE,"Bellerive Oval, Hobart",Hobart,SCOT,1,CS MacLeod,Calum MacLeod,0,3,6,0,0,0,0,0
1298140,SL v UAE,SL,UAE,Simonds Stadium,Geelong,SL,1,KIC Asalanka,Charith Asalanka,0,1,2,0,0,0,0,0
1298140,SL v UAE,SL,UAE,Simonds Stadium,Geelong,UAE,2,Kashif Daud,Kashif Daud,0,4,8,0,0,0,0,0
1298139,NAM v NED,NAM,NED,Simonds Stadium,Geelong,NAM,1,D la Cock,Divan la Cock,0,2,5,0,0,0,0,0
1298139,NAM v NED,NAM,NED,Simonds Stadium,Geelong,NAM,1,JN Loftie-Eaton,Jan Nicol Loftie-Eaton,0,2,3,0,0,0,0,0
1298139,NAM v NED,NAM,NED,Simonds Stadium,Geelong,NED,2,CN Ackermann,Colin Ackermann,0,2,2,0,0,0,0,0
1298138,IRE v ZIM,ZIM,IRE,"Bellerive Oval, Hobart",Hobart,ZIM,1,RW Chakabva,Regis Chakabva,0,2,3,0,0,0,0,0
1298138,IRE v ZIM,ZIM,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,PR Stirling,Paul Stirling,0,2,3,0,0,0,0,0
1298138,IRE v ZIM,ZIM,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,Simi Singh,Simi Singh,0,1,1,0,0,0,0,0
1298137,SCOT v WI,SCOT,WI,"Bellerive Oval, Hobart",Hobart,WI,2,AS Joseph,Alzarri Joseph,0,1,4,0,0,0,0,0
1298136,NED v UAE,UAE,NED,Simonds Stadium,Geelong,UAE,1,Junaid Siddique,Junaid Siddique,0,1,1,0,0,0,0,1
1298136,NED v UAE,UAE,NED,Simonds Stadium,Geelong,NED,2,RE van der Merwe,Roelof van der Merwe,0,2,4,0,0,0,0,0
1298135,NAM v SL,NAM,SL,Simonds Stadium,Geelong,NAM,1,D Wiese,David Wiese,0,1,4,0,0,0,0,0
1298135,NAM v SL,NAM,SL,Simonds Stadium,Geelong,SL,2,MD Gunathilaka,Danushka Gunathilaka,0,1,2,0,0,0,0,0
1298178,ENG v INDIA,INDIA,ENG,Adelaide Oval,Adelaide,INDIA,1,R Ashwin,Ravichandran Ashwin,0,0,4,0,0,0,0,1
1298177,NZ v PAK,NZ,PAK,Sydney Cricket Ground,Sydney,PAK,2,Iftikhar Ahmed,Iftikhar Ahmed,0,0,3,0,0,0,0,1
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,INDIA,1,AR Patel,Axar Patel,0,0,6,0,0,0,0,1
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,PAK,2,Shadab Khan,Shadab Khan,0,0,2,0,0,0,0,1
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,M Theekshana,Maheesh Theekshana,0,0,2,0,0,0,0,1
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Naveen-ul-Haq,Naveen-ul-Haq,0,0,4,0,0,0,0,1
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,NED,2,TLW Cooper,Tom Cooper,0,0,2,0,0,0,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,NED,2,PA van Meekeren,Paul van Meekeren,0,0,4,0,0,0,0,0
1298136,NED v UAE,UAE,NED,Simonds Stadium,Geelong,UAE,1,KP Meiyappan,Karthik Meiyappan,0,0,4,0,0,0,0,1
1298135,NAM v SL,NAM,SL,Simonds Stadium,Geelong,SL,2,Pramod Madushan,Pramod Madushan,0,0,4,0,0,0,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,BAN,1,Shakib Al Hasan,Shakib Al Hasan,0,1,4,0,0,0,1,0
1298154,ENG v IRE,IRE,ENG,Melbourne Cricket Ground,Melbourne,ENG,2,JC Buttler,Jos Buttler,0,2,3,0,0,0,1,0
1298150,INDIA v PAK,PAK,INDIA,Melbourne Cricket Ground,Melbourne,PAK,1,Babar Azam,Babar Azam,0,1,10,0,0,0,1,0
1298140,SL v UAE,SL,UAE,Simonds Stadium,Geelong,SL,1,MD Shanaka,Dasun Shanaka,0,1,2,0,0,0,1,0
1298166,AFG v SL,AFG,SL,Brisbane Cricket Ground,Brisbane,SL,2,MD Shanaka,Dasun Shanaka,0,0,4,0,0,0,1,1
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,PAK,1,Mohammad Nawaz(3),Mohammad Nawaz,5,7,11,0,0,71.42,0,0
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,PAK,1,Mohammad Wasim(1),Mohammad Wasim,4,8,12,0,0,50,0,0
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,PAK,1,Haris Rauf,Haris Rauf,1,1,3,0,0,100,0,1
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,ENG,2,AD Hales,Alex Hales,1,2,6,0,0,50,0,0
1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,ENG,2,LS Livingstone,Liam Livingstone,1,2,3,0,0,50,0,1
1298177,NZ v PAK,NZ,PAK,Sydney Cricket Ground,Sydney,PAK,2,Shan Masood,Shan Masood,3,4,13,0,0,75,0,1
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,INDIA,1,RR Pant,Rishabh Pant,3,5,7,0,0,60,0,0
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,ZIM,2,WP Masakadza,Wellington Masakadza,1,7,8,0,0,14.28,0,0
1298176,INDIA v ZIM,INDIA,ZIM,Melbourne Cricket Ground,Melbourne,ZIM,2,R Ngarava,Richard Ngarava,1,2,4,0,0,50,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,BAN,1,Mosaddek Hossain,Mosaddek Hossain,5,11,17,0,0,45.45,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,BAN,1,Taskin Ahmed,Taskin Ahmed,1,5,8,0,0,20,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,PAK,2,Mohammad Nawaz(3),Mohammad Nawaz,4,11,27,0,0,36.36,0,0
1298175,BAN v PAK,BAN,PAK,Adelaide Oval,Adelaide,PAK,2,Iftikhar Ahmed,Iftikhar Ahmed,1,3,8,0,0,33.33,0,0
1298174,NED v SA,NED,SA,Adelaide Oval,Adelaide,NED,1,BFW de Leede,Bas de Leede,1,7,11,0,0,14.28,0,0
1298174,NED v SA,NED,SA,Adelaide Oval,Adelaide,SA,2,K Rabada,Kagiso Rabada,9,8,13,0,0,112.5,0,1
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,DM de Silva,Dhananjaya de Silva,9,11,17,0,0,81.81,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,KIC Asalanka,Charith Asalanka,8,9,15,0,0,88.88,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,MD Shanaka,Dasun Shanaka,3,8,12,0,0,37.5,1,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,ENG,2,HC Brook,Harry Brook,4,5,9,0,0,80,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,ENG,2,LS Livingstone,Liam Livingstone,4,6,10,0,0,66.66,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,ENG,2,MM Ali,Moeen Ali,1,5,8,0,0,20,0,0
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,ENG,2,SM Curran,Sam Curran,6,11,16,0,0,54.54,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,C Green,Cameron Green,3,2,12,0,0,150,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,KW Richardson,Kane Richardson,1,1,6,0,0,100,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,A Zampa,Adam Zampa,1,1,5,0,0,100,0,1
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Usman Ghani,Usman Ghani,2,7,16,0,0,28.57,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Mohammad Nabi,Mohammad Nabi,1,2,10,0,0,50,1,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,NZ,1,TG Southee,Tim Southee,1,2,7,0,0,50,0,1
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,IRE,2,LJ Tucker,Lorcan Tucker,13,14,30,0,0,92.85,0,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,IRE,2,HT Tector,Harry Tector,2,7,4,0,0,28.57,0,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,IRE,2,MR Adair,Mark Adair,4,5,9,0,0,80,0,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,IRE,2,BJ McCarthy,Barry McCarthy,6,5,10,0,0,120,0,1
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Babar Azam,Babar Azam,6,15,29,0,0,40,1,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Shan Masood,Shan Masood,2,6,11,0,0,33.33,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Naseem Shah,Naseem Shah,5,3,3,0,0,166.66,0,1
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Haris Rauf,Haris Rauf,3,2,2,0,0,150,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,SA,2,WD Parnell,Wayne Parnell,3,4,9,0,0,75,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,SA,2,K Rabada,Kagiso Rabada,1,2,11,0,0,50,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,SA,2,A Nortje,Anrich Nortje,1,5,8,0,0,20,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,SA,2,T Shamsi,Tabraiz Shamsi,1,1,3,0,0,100,0,1
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,INDIA,1,RG Sharma,Rohit Sharma,2,8,18,0,0,25,1,0
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,INDIA,1,HH Pandya,Hardik Pandya,5,6,8,0,0,83.33,0,0
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,BAN,2,Afif Hossain,Afif Hossain,3,5,12,0,0,60,0,0
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,BAN,2,Yasir Ali,Yasir Ali,1,3,8,0,0,33.33,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,W Madhevere,Wessly Madhevere,1,5,9,0,0,20,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,CR Ervine,Craig Ervine,3,12,18,0,0,25,1,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,M Shumba,Milton Shumba,2,3,6,0,0,66.66,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,RP Burl,Ryan Burl,2,7,19,0,0,28.57,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,LM Jongwe,Luke Jongwe,6,8,12,0,0,75,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,TL Chatara,Tendai Chatara,6,7,15,0,0,85.71,0,1
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,B Muzarabani,Blessing Muzarabani,1,4,9,0,0,25,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,NED,2,CN Ackermann,Colin Ackermann,1,5,6,0,0,20,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,ENG,1,MM Ali,Moeen Ali,5,6,13,0,0,83.33,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,ENG,1,BA Stokes,Ben Stokes,8,7,11,0,0,114.28,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,ENG,1,DJ Malan,Dawid Malan,3,1,1,0,0,300,0,1
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,NZ,2,DP Conway,Devon Conway,3,9,12,0,0,33.33,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,NZ,2,DJ Mitchell,Daryl Mitchell,3,5,10,0,0,60,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,NZ,2,IS Sodhi,Ish Sodhi,6,6,4,0,0,100,0,1
1298166,AFG v SL,AFG,SL,Brisbane Cricket Ground,Brisbane,AFG,1,Gulbadin Naib,Gulbadin Naib,12,14,25,0,0,85.71,0,0
1298166,AFG v SL,AFG,SL,Brisbane Cricket Ground,Brisbane,AFG,1,Azmatullah Omarzai,Azmatullah Omarzai,3,4,3,0,0,75,0,1
