match_id,match_name,home_team,away_team,bowling_team,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,1,Sam Curran,4,0,12,3,3,15,0,0,0,0,FALSE
1298179,ENG v PAK,PAK,ENG,ENG,Melbourne Cricket Ground,Melbourne,1,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Shadab Khan,4,0,20,1,5,10,1,0,0,0,FALSE
1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,1,Adil Rashid,4,0,20,1,5,8,1,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,PAK,Sydney Cricket Ground,Sydney,1,Shaheen Shah Afridi,4,0,24,2,6,11,2,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,PAK,Sydney Cricket Ground,Sydney,1,Naseem Shah,4,0,30,0,7.5,8,3,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,PAK,Sydney Cricket Ground,Sydney,1,Haris Rauf,4,0,32,0,8,6,2,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,NZ,Sydney Cricket Ground,Sydney,2,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,NZ,Sydney Cricket Ground,Sydney,2,Mitchell Santner,4,0,26,1,6.5,6,1,0,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,NZ,Sydney Cricket Ground,Sydney,2,Ish Sodhi,4,0,26,0,6.5,4,1,0,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,PAK,Adelaide Oval,Adelaide,1,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,PAK,Adelaide Oval,Adelaide,1,Shadab Khan,4,0,30,2,7.5,8,3,0,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,BAN,Adelaide Oval,Adelaide,2,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0,FALSE
1298174,NED v SA,NED,SA,SA,Adelaide Oval,Adelaide,1,Anrich Nortje,4,0,10,1,2.5,14,0,0,0,0,FALSE
1298174,NED v SA,NED,SA,NED,Adelaide Oval,Adelaide,2,Fred Klaassen,4,0,20,2,5,15,3,0,0,0,FALSE
1298173,ENG v SL,SL,ENG,ENG,Sydney Cricket Ground,Sydney,1,Adil Rashid,4,0,16,1,4,11,0,0,0,0,FALSE
1298173,ENG v SL,SL,ENG,SL,Sydney Cricket Ground,Sydney,2,Dhananjaya de Silva,4,0,24,2,6,7,1,0,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Pat Cummins,4,0,22,0,5.5,12,2,0,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Adam Zampa,4,0,22,2,5.5,11,1,0,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Lockie Ferguson,4,0,22,3,5.5,10,1,0,0,0,FALSE
1298169,BAN v INDIA,INDIA,BAN,BAN,Adelaide Oval,Adelaide,1,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0,FALSE
1298169,BAN v INDIA,INDIA,BAN,BAN,Adelaide Oval,Adelaide,1,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0,FALSE
1298168,NED v ZIM,ZIM,NED,NED,Adelaide Oval,Adelaide,1,Bas de Leede,4,0,14,2,3.5,11,0,0,0,0,FALSE
1298168,NED v ZIM,ZIM,NED,ZIM,Adelaide Oval,Adelaide,2,Tendai Chatara,4,0,22,0,5.5,14,4,0,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0,FALSE
1298166,AFG v SL,AFG,SL,SL,Brisbane Cricket Ground,Brisbane,1,Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,0,0,FALSE
1298166,AFG v SL,AFG,SL,AFG,Brisbane Cricket Ground,Brisbane,2,Mujeeb Ur Rahman,4,0,24,2,6,12,3,0,0,0,FALSE
1298165,AUS v IRE,AUS,IRE,AUS,Brisbane Cricket Ground,Brisbane,2,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0,FALSE
1298163,NED v PAK,NED,PAK,PAK,Perth Stadium,Perth,1,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0,FALSE
1298163,NED v PAK,NED,PAK,PAK,Perth Stadium,Perth,1,Shadab Khan,4,0,22,3,5.5,11,2,0,0,0,FALSE
1298163,NED v PAK,NED,PAK,NED,Perth Stadium,Perth,2,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,BAN,Brisbane Cricket Ground,Brisbane,2,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0,FALSE
1298161,NZ v SL,NZ,SL,SL,Sydney Cricket Ground,Sydney,1,Wanindu Hasaranga de Silva,4,0,22,1,5.5,9,1,0,0,0,FALSE
1298161,NZ v SL,NZ,SL,NZ,Sydney Cricket Ground,Sydney,2,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Blessing Muzarabani,4,0,18,1,4.5,11,1,0,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Tim Pringle,4,0,30,0,7.5,6,3,0,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,INDIA,Sydney Cricket Ground,Sydney,2,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,INDIA,Sydney Cricket Ground,Sydney,2,Axar Patel,4,0,18,2,4.5,11,0,0,0,0,FALSE
1298156,BAN v SA,SA,BAN,SA,Sydney Cricket Ground,Sydney,2,Keshav Maharaj,4,0,24,1,6,6,1,0,0,0,FALSE
1298154,ENG v IRE,IRE,ENG,ENG,Melbourne Cricket Ground,Melbourne,1,Adil Rashid,4,0,24,0,6,6,1,0,0,0,FALSE
1298151,BAN v NED,BAN,NED,NED,"Bellerive Oval, Hobart",Hobart,1,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,FALSE
1298151,BAN v NED,BAN,NED,BAN,"Bellerive Oval, Hobart",Hobart,2,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,FALSE
1298150,INDIA v PAK,PAK,INDIA,INDIA,Melbourne Cricket Ground,Melbourne,1,Hardik Pandya,4,0,30,3,7.5,10,4,0,0,0,FALSE
1298150,INDIA v PAK,PAK,INDIA,PAK,Melbourne Cricket Ground,Melbourne,2,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,FALSE
1298150,INDIA v PAK,PAK,INDIA,PAK,Melbourne Cricket Ground,Melbourne,2,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,FALSE
1298149,IRE v SL,IRE,SL,SL,"Bellerive Oval, Hobart",Hobart,1,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,AFG,Perth Stadium,Perth,2,Mujeeb Ur Rahman,4,0,22,1,5.5,10,1,0,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,AFG,Perth Stadium,Perth,2,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,FALSE
1298146,SCOT v ZIM,SCOT,ZIM,SCOT,"Bellerive Oval, Hobart",Hobart,2,Brad Wheal,4,0,26,1,6.5,12,4,0,0,0,FALSE
1298146,SCOT v ZIM,SCOT,ZIM,SCOT,"Bellerive Oval, Hobart",Hobart,2,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,FALSE
1298145,IRE v WI,WI,IRE,WI,"Bellerive Oval, Hobart",Hobart,2,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,FALSE
1298143,NED v SL,SL,NED,SL,Simonds Stadium,Geelong,2,Wanindu Hasaranga de Silva,4,0,28,3,7,11,3,0,0,0,FALSE
1298142,WI v ZIM,WI,ZIM,ZIM,"Bellerive Oval, Hobart",Hobart,1,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,FALSE
1298140,SL v UAE,SL,UAE,UAE,Simonds Stadium,Geelong,1,Zahoor Khan,4,0,26,2,6.5,10,3,0,0,0,FALSE
1298139,NAM v NED,NAM,NED,NAM,Simonds Stadium,Geelong,2,JJ Smit,4,0,24,2,6,9,2,0,0,0,FALSE
1298138,IRE v ZIM,ZIM,IRE,IRE,"Bellerive Oval, Hobart",Hobart,1,Josh Little,4,0,24,3,6,11,3,0,0,0,FALSE
1298138,IRE v ZIM,ZIM,IRE,ZIM,"Bellerive Oval, Hobart",Hobart,2,Richard Ngarava,4,0,22,2,5.5,13,3,0,0,0,FALSE
1298136,NED v UAE,UAE,NED,NED,Simonds Stadium,Geelong,1,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,FALSE
1298136,NED v UAE,UAE,NED,NED,Simonds Stadium,Geelong,1,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,FALSE
1298136,NED v UAE,UAE,NED,UAE,Simonds Stadium,Geelong,2,Karthik Meiyappan,4,0,22,1,5.5,11,2,0,0,0,FALSE
1298136,NED v UAE,UAE,NED,UAE,Simonds Stadium,Geelong,2,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,FALSE
1298135,NAM v SL,NAM,SL,NAM,Simonds Stadium,Geelong,2,David Wiese,4,0,16,2,4,13,1,0,0,0,FALSE
1298135,NAM v SL,NAM,SL,NAM,Simonds Stadium,Geelong,2,Bernard Scholtz,4,0,18,2,4.5,10,1,0,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,BAN,Adelaide Oval,Adelaide,2,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,TRUE
1298169,BAN v INDIA,INDIA,BAN,BAN,Adelaide Oval,Adelaide,1,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0,TRUE
1298162,BAN v ZIM,BAN,ZIM,BAN,Brisbane Cricket Ground,Brisbane,2,Shakib Al Hasan,4,0,34,0,8.5,5,3,0,0,0,TRUE
1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,1,Sam Curran,4,0,42,0,10.5,9,5,2,0,0,FALSE
1298178,ENG v INDIA,INDIA,ENG,INDIA,Adelaide Oval,Adelaide,2,Axar Patel,4,0,30,0,7.5,10,2,2,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,PAK,Sydney Cricket Ground,Sydney,1,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,ZIM,Melbourne Cricket Ground,Melbourne,1,Tendai Chatara,4,0,34,0,8.5,5,3,1,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,PAK,Adelaide Oval,Adelaide,1,Shaheen Shah Afridi,4,0,22,4,5.5,13,2,1,0,0,FALSE
1298174,NED v SA,NED,SA,SA,Adelaide Oval,Adelaide,1,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0,FALSE
1298173,ENG v SL,SL,ENG,ENG,Sydney Cricket Ground,Sydney,1,Sam Curran,4,0,27,1,6.75,10,2,1,0,0,FALSE
1298173,ENG v SL,SL,ENG,SL,Sydney Cricket Ground,Sydney,2,Wanindu Hasaranga de Silva,4,0,23,2,5.75,11,1,1,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Barry McCarthy,4,0,46,0,11.5,4,4,2,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Trent Boult,4,0,38,0,9.5,8,4,1,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Tim Southee,4,0,29,2,7.25,8,2,1,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Mitchell Santner,4,0,26,2,6.5,12,3,1,0,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Kagiso Rabada,4,0,44,1,11,7,4,2,0,0,FALSE
1298169,BAN v INDIA,INDIA,BAN,INDIA,Adelaide Oval,Adelaide,2,Arshdeep Singh,4,0,38,2,9.5,10,5,1,0,0,FALSE
1298168,NED v ZIM,ZIM,NED,ZIM,Adelaide Oval,Adelaide,2,Richard Ngarava,4,0,18,2,4.5,15,1,1,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Tim Southee,4,0,43,1,10.75,9,3,3,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,George Dockrell,4,0,24,0,6,8,0,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,ZIM,Brisbane Cricket Ground,Brisbane,1,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Brad Evans,4,0,25,2,6.25,12,2,1,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Paul van Meekeren,4,0,32,1,8,9,3,1,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0,FALSE
1298156,BAN v SA,SA,BAN,BAN,Sydney Cricket Ground,Sydney,1,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,FALSE
1298149,IRE v SL,IRE,SL,SL,"Bellerive Oval, Hobart",Hobart,1,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,FALSE
1298149,IRE v SL,IRE,SL,SL,"Bellerive Oval, Hobart",Hobart,1,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,ENG,Perth Stadium,Perth,1,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,ENG,Perth Stadium,Perth,1,Adil Rashid,4,0,32,0,8,4,1,1,0,0,FALSE
1298147,AUS v NZ,NZ,AUS,AUS,Sydney Cricket Ground,Sydney,1,Mitchell Starc,4,0,36,0,9,5,3,1,0,0,FALSE
1298147,AUS v NZ,NZ,AUS,NZ,Sydney Cricket Ground,Sydney,2,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,FALSE
1298146,SCOT v ZIM,SCOT,ZIM,SCOT,"Bellerive Oval, Hobart",Hobart,2,Michael Leask,4,0,36,1,9,4,2,1,0,0,FALSE
1298145,IRE v WI,WI,IRE,WI,"Bellerive Oval, Hobart",Hobart,2,Akeal Hosein,4,0,38,1,9.5,5,2,2,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,NAM,Simonds Stadium,Geelong,1,Bernard Scholtz,4,0,22,1,5.5,11,1,1,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,NAM,Simonds Stadium,Geelong,1,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,UAE,Simonds Stadium,Geelong,2,Karthik Meiyappan,4,0,34,1,8.5,8,2,2,0,0,FALSE
1298143,NED v SL,SL,NED,NED,Simonds Stadium,Geelong,1,Fred Klaassen,4,0,34,1,8.5,9,1,2,0,0,FALSE
1298142,WI v ZIM,WI,ZIM,WI,"Bellerive Oval, Hobart",Hobart,2,Alzarri Joseph,4,0,16,4,4,16,1,1,0,0,FALSE
1298141,IRE v SCOT,SCOT,IRE,SCOT,"Bellerive Oval, Hobart",Hobart,2,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,FALSE
1298140,SL v UAE,SL,UAE,UAE,Simonds Stadium,Geelong,1,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,FALSE
1298139,NAM v NED,NAM,NED,NAM,Simonds Stadium,Geelong,2,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,FALSE
1298137,SCOT v WI,SCOT,WI,WI,"Bellerive Oval, Hobart",Hobart,1,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,FALSE
1298137,SCOT v WI,SCOT,WI,SCOT,"Bellerive Oval, Hobart",Hobart,2,Brad Wheal,4,0,32,2,8,10,4,1,0,0,FALSE
1298135,NAM v SL,NAM,SL,SL,Simonds Stadium,Geelong,1,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,FALSE
1298135,NAM v SL,NAM,SL,SL,Simonds Stadium,Geelong,1,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Naseem Shah,4,0,30,0,7.5,15,3,1,1,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,FALSE
1298179,ENG v PAK,PAK,ENG,PAK,Melbourne Cricket Ground,Melbourne,2,Mohammad Wasim,4,0,38,1,9.5,5,5,0,2,0,FALSE
1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,1,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,FALSE
1298177,NZ v PAK,NZ,PAK,NZ,Sydney Cricket Ground,Sydney,2,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,ZIM,Melbourne Cricket Ground,Melbourne,1,Blessing Muzarabani,4,0,50,1,12.5,5,8,0,1,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,INDIA,Melbourne Cricket Ground,Melbourne,2,Ravichandran Ashwin,4,0,22,3,5.5,13,3,0,1,0,FALSE
1298175,BAN v PAK,BAN,PAK,BAN,Adelaide Oval,Adelaide,2,Nasum Ahmed,4,0,14,1,3.5,13,0,0,2,0,FALSE
1298174,NED v SA,NED,SA,SA,Adelaide Oval,Adelaide,1,Wayne Parnell,4,0,32,0,8,10,2,2,1,0,FALSE
1298173,ENG v SL,SL,ENG,SL,Sydney Cricket Ground,Sydney,2,Maheesh Theekshana,4,0,22,0,5.5,11,1,0,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Mujeeb Ur Rahman,4,0,42,1,10.5,5,4,1,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Kane Richardson,4,0,48,1,12,4,3,3,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Josh Little,4,0,22,3,5.5,10,2,0,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Mark Adair,4,0,39,1,9.75,9,3,1,3,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Gareth Delany,4,0,30,2,7.5,11,3,1,1,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Lungi Ngidi,4,0,32,1,8,11,3,1,2,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Tabraiz Shamsi,4,0,36,1,9,8,2,2,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,NED,Adelaide Oval,Adelaide,1,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,NED,Adelaide Oval,Adelaide,1,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0,FALSE
1298168,NED v ZIM,ZIM,NED,ZIM,Adelaide Oval,Adelaide,2,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Trent Boult,4,0,40,0,10,8,4,1,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Sam Curran,4,0,26,2,6.5,9,0,0,2,0,FALSE
1298166,AFG v SL,AFG,SL,SL,Brisbane Cricket Ground,Brisbane,1,Lahiru Kumara,4,0,30,2,7.5,12,2,1,4,0,FALSE
1298166,AFG v SL,AFG,SL,SL,Brisbane Cricket Ground,Brisbane,1,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0,FALSE
1298166,AFG v SL,AFG,SL,AFG,Brisbane Cricket Ground,Brisbane,2,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Josh Little,4,0,21,2,5.25,13,2,0,2,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Mark Adair,4,0,59,0,14.75,6,7,2,6,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0,FALSE
1298165,AUS v IRE,AUS,IRE,AUS,Brisbane Cricket Ground,Brisbane,2,Pat Cummins,4,0,28,2,7,14,3,1,1,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Kagiso Rabada,4,0,26,0,6.5,13,2,1,1,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,FALSE
1298163,NED v PAK,NED,PAK,PAK,Perth Stadium,Perth,1,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,ZIM,Brisbane Cricket Ground,Brisbane,1,Richard Ngarava,4,0,24,2,6,11,2,0,2,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,BAN,Brisbane Cricket Ground,Brisbane,2,Hasan Mahmud,4,0,36,0,9,8,5,0,3,0,FALSE
1298161,NZ v SL,NZ,SL,SL,Sydney Cricket Ground,Sydney,1,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,FALSE
1298161,NZ v SL,NZ,SL,NZ,Sydney Cricket Ground,Sydney,2,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,FALSE
1298161,NZ v SL,NZ,SL,NZ,Sydney Cricket Ground,Sydney,2,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Naseem Shah,4,0,34,0,8.5,7,4,0,2,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,PAK,Perth Stadium,Perth,1,Mohammad Wasim,4,0,24,4,6,16,2,1,4,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Richard Ngarava,4,0,24,0,6,15,2,1,2,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0,FALSE
